H. PROGRAMA,NOM ORQUESTRA O COBLA,DATA INICI,DATA FI,POBLACIÓ,PROVÍNCIA,LOCAL /CARRER/ESPAI,ESDEVENIMENT,NOM ENTITAT AUTOLIQUIDACIÓ
20:00,TestingOrchestra,20/10/2023,20/10/2023,AMPOSTA,TARRAGONA,LA LIRA,TestingOrchestra,SÍ
08:00 PM,TestingOrchestra,20/10/2023,20/10/2023,AMPOSTA,TARRAGONA,LA LIRA,TestingOrchestra,SÍ
07:30 PM,HarmonySinfonia,15/11/2023,15/11/2023,BARCELONA,BARCELONA,Palau de la Música Catalana,Concert de Gala,HarmonySinfonia
08:15 PM,MontserratCobla,25/12/2023,25/12/2023,GIRONA,GIRONA,Catedral de Girona,Concert de Nadal,MontserratCobla
06:45 PM,CostaBravaOrchestra,05/02/23,05/02/23,LLORET DE MAR,GIRONA,Gran Casino Costa Brava,Concert Benèfic,CostaBravaOrchestra
09:00 PM,TarragonaSymphony,10/03/23,10/03/23,TARRAGONA,TARRAGONA,Auditori Tarragona,Simfonia de Primavera,TarragonaSymphony
07:00 PM,EmpordaCobla,14/04/2023,14/04/2023,FIGUERES,GIRONA,Teatre-Museu Dalí,Concert de Primavera,EmpordaCobla
08:30 PM,PenedesOrchestra,20/06/2023,20/06/2023,VILAFRANCA DEL PENEDÈS,BARCELONA,Palafrugell,Orquestra al Carrer,PenedesOrchestra
07:15 PM,DeltaCobla,03/09/23,03/09/23,SANT CARLES DE LA RÀPITA,TARRAGONA,Passeig Marítim,Concert a la Platja,DeltaCobla
06:00 PM,CatalunyaSymphony,18/10/2023,18/10/2023,GIRONA,GIRONA,Auditori de Girona,Simfonia de Tardor,CatalunyaSymphony
09:30 PM,CambrilsOrchestra,05/11/23,05/11/23,CAMBRILS,TARRAGONA,Parc Samà,Concert Especial,CambrilsOrchestra
